domain,impersonated_outlet,authentic_domain,country,tld,first_seen,campaign,attribution,source,evidence_level,cats_flag,notes
blld.live,Bild,bild.de,DE,live,2022-06-05,Doppelganger,Russia (SDA/Structura/ANO Dialog) — VIGINUM/DOJ,Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (blld)
bild.pics,Bild,bild.de,DE,pics,2022-06-06,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
bild.asia,Bild,bild.de,DE,asia,2022-07-12,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
bild.vip,Bild,bild.de,DE,vip,2022-07-12,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
bild.eu.com,Bild,bild.de,DE,eu.com,2022-07-24,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
bild.llc,Bild,bild.de,DE,llc,2022-07-25,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
bild.ws,Bild,bild.de,DE,ws,2022-09-12,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
bild.work,Bild,bild.de,DE,work,2022-09-14,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
spiegel.ltd,Der Spiegel,spiegel.de,DE,ltd,2022-06-29,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27; Correctiv 2024,forensic+journalistic,disinformation_clone,confermato attivo per anni
spiegel.fun,Der Spiegel,spiegel.de,DE,fun,2022-07-18,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
spiegel.pro,Der Spiegel,spiegel.de,DE,pro,2022-07-20,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
spiegel.co.com,Der Spiegel,spiegel.de,DE,co.com,2022-07-26,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
spiegeli.life,Der Spiegel,spiegel.de,DE,life,2022-07-28,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (spiegeli)
spiegel.agency,Der Spiegel,spiegel.de,DE,agency,2022-08-06,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
spiegelr.today,Der Spiegel,spiegel.de,DE,today,2022-08-14,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (spiegelr)
spiegel.work,Der Spiegel,spiegel.de,DE,work,2022-09-13,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
spiegel.cab,Der Spiegel,spiegel.de,DE,cab,2022-09-15,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
sueddeutsche.me,Sueddeutsche Zeitung,sueddeutsche.de,DE,me,2022-08-18,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
sueddeutsche.online,Sueddeutsche Zeitung,sueddeutsche.de,DE,online,2022-08-20,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
sueddeutsche.cc,Sueddeutsche Zeitung,sueddeutsche.de,DE,cc,2022-09-12,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
sueddeutsche.co,Sueddeutsche Zeitung,sueddeutsche.de,DE,co,2022-09-13,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
tagesspiegel.ltd,Der Tagesspiegel,tagesspiegel.de,DE,ltd,2022-08-09,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,geo-fenced redirect DE
tagesspiegel.co,Der Tagesspiegel,tagesspiegel.de,DE,co,2022-09-13,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
tonline.cfd,T-Online,t-online.de,DE,cfd,2022-07-18,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
tonline.life,T-Online,t-online.de,DE,life,2022-07-18,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
t-onlinr.life,T-Online,t-online.de,DE,life,2022-07-31,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (t-onlinr)
t-onlinr.live,T-Online,t-online.de,DE,live,2022-07-31,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (t-onlinr)
t-onlinr.today,T-Online,t-online.de,DE,today,2022-07-31,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (t-onlinr)
t-onlinl.life,T-Online,t-online.de,DE,life,2022-08-14,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (t-onlinl)
t-onlinl.live,T-Online,t-online.de,DE,live,2022-08-14,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (t-onlinl)
t-onlinl.today,T-Online,t-online.de,DE,today,2022-08-14,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (t-onlinl)
welt.ltd,Welt,welt.de,DE,ltd,2022-07-28,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,geo-fenced redirect DE
welt.ws,Welt,welt.de,DE,ws,2022-09-12,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
welt.media,Welt,welt.de,DE,media,2022-09-15,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
faz.ltd,Frankfurter Allgemeine Zeitung,faz.net,DE,ltd,2022-07-30,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,open index listing; kclient.php
faz.agency,Frankfurter Allgemeine Zeitung,faz.net,DE,agency,2022-09-13,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
faz.life,Frankfurter Allgemeine Zeitung,faz.net,DE,life,2022-09-15,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
nd-aktuell.net,Neues Deutschland,nd-aktuell.de,DE,net,2022-08-23,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,redirect target di tagesspiegel.ltd
nd-aktuell.pro,Neues Deutschland,nd-aktuell.de,DE,pro,2022-09-12,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
nd-aktuell.co,Neues Deutschland,nd-aktuell.de,DE,co,2022-09-13,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
fraiesvolk.com,(portale inventato) Fraies Volk,N/A,DE,com,2022-09-17,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,fake_news_portal,"finta testata, non clone"
dailymail.cfd,Mail Online,dailymail.co.uk,UK,cfd,2022-07-14,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
theguardian.co.com,The Guardian,theguardian.com,UK,co.com,2022-07-07,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,
20minuts.com,20 Minutes,20minutes.fr,FR,com,2022-06-28,Doppelganger,Russia (SDA/Structura/ANO Dialog),Qurium 2022-09-27,forensic,disinformation_clone,typo-squat (20minuts)
